Species,Number,Av. leaf length,Av. leaf width,Av. leaf thickness,Leaf surface area per leaf,Leaf fresh weight,Leaf dry weight,Specific leaf area,Leaf water content,,,
,,cm,cm,mm,cm2,g,g,m2 g DW-1,%,,,
Encephalartos sp.,2,9.80,1.58,0.995,14.445,1.31580,0.61206,0.00236,53.5,,,
Encephalartos sp.,3,11.46,1.99,1.005,18.096,1.47554,0.60478,0.00299,59.0,,,
Encephalartos sp.,4,13.00,2.17,0.946,21.046,1.75074,0.70570,0.00298,59.7,,,
Encephalartos sp.,5,13.91,2.57,0.954,26.977,2.40992,1.05234,0.00256,56.3,,,
Ficus microcarpa,1,4.65,2.66,0.329,8.690,0.29227,0.12261,0.00709,58.0,,,
Ficus microcarpa,2,4.40,2.74,0.357,8.712,0.29485,0.11801,0.00738,60.0,,,
Ficus microcarpa,3,4.88,3.02,0.359,10.485,0.33841,0.13370,0.00784,60.5,,,
Ficus microcarpa,4,5.33,3.13,0.289,11.706,0.37432,0.16071,0.00728,57.1,,,
Ficus microcarpa,5,5.87,3.44,0.321,14.048,0.43870,0.14056,0.00999,68.0,,,
Ficus natalensis,1,10.39,5.68,0.495,44.458,2.33253,0.76803,0.00579,67.1,,,
Ficus natalensis,2,9.14,4.57,0.530,31.051,1.78516,0.71920,0.00432,59.7,,,
Ficus natalensis,3,7.74,3.85,0.534,21.742,1.30481,0.48972,0.00444,62.5,,,
Ficus natalensis,4,9.87,4.95,0.521,35.754,2.02790,0.66682,0.00536,67.1,,,
Ficus natalensis,5,9.75,5.34,0.520,41.644,2.34155,0.86761,0.00480,62.9,,,
Grewia bicolor,1,6.46,3.53,0.171,13.785,0.26717,0.10928,0.01261,59.1,,,
Grewia bicolor,2,5.80,3.92,0.181,14.120,0.22627,0.08614,0.01639,61.9,,,
Grewia bicolor,3,5.61,3.55,0.196,12.732,0.23941,0.09431,0.01350,60.6,,,
Grewia bicolor,4,5.62,3.46,0.193,13.967,0.26492,0.07958,0.01755,70.0,,,
Grewia bicolor,5,6.19,3.56,0.239,15.357,0.43624,0.18442,0.00833,57.7,,,
Harpephyllum caffrum,1,7.03,2.10,0.223,10.692,0.32673,0.14597,0.00732,55.3,,,
Harpephyllum caffrum,2,6.36,2.35,0.260,10.632,0.36460,0.16837,0.00631,53.8,,,
Harpephyllum caffrum,3,6.20,2.32,0.276,10.336,0.37087,0.17069,0.00606,54.0,,,
Harpephyllum caffrum,4,7.04,2.62,0.247,13.236,0.44612,0.20012,0.00661,55.1,,,
Harpephyllum caffrum,5,7.71,2.75,0.213,14.476,0.42669,0.18746,0.00772,56.1,,,
Hedera canariensis,1,9.93,12.39,0.343,73.678,2.18469,0.71784,0.01026,67.1,,,
Hedera canariensis,2,12.95,15.28,0.355,96.769,3.44233,1.12762,0.00858,67.2,,,
Hedera canariensis,3,10.60,14.00,0.352,90.474,2.21095,0.71939,0.01258,67.5,,,
Hedera canariensis,4,11.34,14.41,0.337,105.995,2.61037,0.78615,0.01348,69.9,,,
Hedera canariensis,5,11.82,13.97,0.377,116.929,3.49717,1.08978,0.01073,68.8,,,
Indigofera cystioides,1,6.10,3.88,0.396,9.903,0.57958,0.20979,0.00472,63.8,,,
Indigofera cystioides,2,5.50,3.90,0.279,9.157,0.57563,0.21202,0.00432,63.2,,,
Indigofera cystioides,3,6.48,5.70,0.381,16.248,0.74805,0.30608,0.00531,59.1,,,
Indigofera cystioides,4,5.74,3.87,0.373,9.622,0.58129,0.21256,0.00453,63.4,,,
Indigofera cystioides,5,4.86,4.05,0.278,8.759,2.29655,0.15649,0.00560,93.2,,,
Kiggelaria africana,1,11.87,4.29,0.300,36.847,0.86233,0.33265,0.01108,61.4,,,
Kiggelaria africana,2,11.45,4.20,0.382,33.326,1.08717,0.47866,0.00696,56.0,,,
Kiggelaria africana,3,6.91,2.89,0.418,14.552,0.59726,0.27574,0.00528,53.8,,,
