Species,Number,Leaf no.,Fresh leaves,,Dry leaves,,,,Species,Number,Combustibility 
,,,Ignibility (s),Sustainability (s),Ignibility (s),Sustainability (s),,,,,mg DW s-1
Cupressus sempervirens,,7,9.03,78.55,2.5,15.73,,,,,
Cupressus sempervirens,,8,10.98,57.35,1.28,16.88,,,,,
Cupressus sempervirens,,9,9.82,57,1.63,20.67,,,,,
Cupressus sempervirens,,10,11.69,71.01,1.93,13.26,,,,,
Cupressus sempervirens,3,1,11.39,58,2.37,21.82,,,,,
Cupressus sempervirens,,2,8.84,57.78,1.71,20.14,,,,,
Cupressus sempervirens,,3,10.15,51.99,2,20.92,,,,,
Cupressus sempervirens,,4,9.38,76.44,1.63,24.47,,,,,
Cupressus sempervirens,,5,8.39,44.25,2.33,23.42,,,,,
Cupressus sempervirens,,6,7.64,52.7,1.78,23.56,,,,,
Cupressus sempervirens,,7,9.69,47.41,1.87,16.29,,,,,
Cupressus sempervirens,,8,10.37,60.17,1.85,16.03,,,,,
Cupressus sempervirens,,9,11.31,72.86,2.44,22.61,,,,,
Cupressus sempervirens,,10,11.95,65.53,1.35,24.02,,,,,
Cupressus sempervirens,4,1,9.29,47.22,2.42,20.06,,,,,
Cupressus sempervirens,,2,11.35,52.01,1.48,18.16,,,,,
Cupressus sempervirens,,3,8.98,30.46,1.83,22.97,,,,,
Cupressus sempervirens,,4,11.39,33.33,1.55,20,,,,,
Cupressus sempervirens,,5,9.56,30.82,1.98,15.07,,,,,
Cupressus sempervirens,,6,9.9,25.41,1.44,14.32,,,,,
Cupressus sempervirens,,7,8.24,37.2,2.56,20.52,,,,,
Cupressus sempervirens,,8,10.84,30.98,1.87,18.37,,,,,
Cupressus sempervirens,,9,8.52,33.63,2.39,16,,,,,
Cupressus sempervirens,,10,9.92,48.59,1.58,18.42,,,,,
Cupressus sempervirens,5,1,9.75,37.51,2.82,19.04,,,,,
Cupressus sempervirens,,2,11.24,35.65,1.54,21.07,,,,,
Cupressus sempervirens,,3,12.89,41.63,2.3,16.39,,,,,
Cupressus sempervirens,,4,11.11,49.02,1.88,12.1,,,,,
Cupressus sempervirens,,5,9.5,49.12,2.47,16.2,,,,,
Cupressus sempervirens,,6,7.72,47,1.72,16.51,,,,,
Cupressus sempervirens,,7,11.98,65.87,2.5,16.51,,,,,
Cupressus sempervirens,,8,14.8,40.18,1.51,13.09,,,,,
Cupressus sempervirens,,9,11.05,45,1.93,18.83,,,,,
Cupressus sempervirens,,10,12.7,43,1.94,17.36,,,,,
Cupressus sp.,1,1,11.63,75.21,2.59,18.9,,,,,
Cupressus sp.,,2,12.63,64.38,2.02,16.81,,,,,
Cupressus sp.,,3,12.3,64.03,2.88,18.8,,,,,
Cupressus sp.,,4,10.86,55.62,1.34,17.69,,,,,
Cupressus sp.,,5,9.09,41.25,3.03,16.41,,,,,
Cupressus sp.,,6,8.68,43.8,1.93,18.02,,,,,
Cupressus sp.,,7,11.01,40.18,3.4,17.72,,,,,
Cupressus sp.,,8,9.74,44.97,2.04,17.29,,,,,
Cupressus sp.,,9,9.37,42.06,3.18,21.69,,,,,
Cupressus sp.,,10,9.87,41.49,2.36,14.39,,,,,
Cupressus sp.,2,1,8.11,75.95,2.78,33.95,,,,,
Cupressus sp.,,2,9.63,62.39,2.93,37.61,,,,,
Cupressus sp.,,3,11.95,76.32,2.43,28.81,,,,,
Cupressus sp.,,4,9.43,66.77,2.57,34.43,,,,,
Cupressus sp.,,5,10.01,66.17,2.64,38.18,,,,,
Cupressus sp.,,6,8.53,70.46,2.65,31.76,,,,,
Cupressus sp.,,7,9.7,85.94,2.44,23.48,,,,,
Cupressus sp.,,8,10.41,72.4,2.69,36.67,,,,,
Cupressus sp.,,9,14.16,71.93,2.55,29.26,,,,,
Cupressus sp.,,10,10.23,52.17,2.12,25.78,,,,,
Cupressus sp.,3,1,9.38,54.62,2.71,19.3,,,,,
Cupressus sp.,,2,7.73,58.03,2.17,22.96,,,,,
Cupressus sp.,,3,9.21,47.25,2.13,19.13,,,,,
Cupressus sp.,,4,7.27,49.29,1.74,19.46,,,,,
Cupressus sp.,,5,6.87,39.12,2.43,25.06,,,,,
Cupressus sp.,,6,7.23,39.07,2.55,18.8,,,,,
Cupressus sp.,,7,8.76,36.14,2.43,23.67,,,,,
Cupressus sp.,,8,7.65,41.77,2.64,28.54,,,,,
Cupressus sp.,,9,9.48,38.48,2.61,23.93,,,,,
Cupressus sp.,,10,8.03,44.21,2.48,23.88,,,,,
Cupressus sp.,4,1,9.48,51.52,1.98,20.75,,,,,
Cupressus sp.,,2,8.23,51.73,1.06,15.21,,,,,
Cupressus sp.,,3,8.5,31.15,1.98,22.79,,,,,
Cupressus sp.,,4,7.77,31.51,1.11,17.47,,,,,
Cupressus sp.,,5,11.04,39.29,2.04,18.31,,,,,
Cupressus sp.,,6,9.05,34.7,1.26,10.11,,,,,
Cupressus sp.,,7,9.03,36.68,2.15,16.96,,,,,
Cupressus sp.,,8,7.84,31.31,1.59,19.99,,,,,
Cupressus sp.,,9,7.67,50.17,1.52,20.3,,,,,
Cupressus sp.,,10,7.69,48.84,1.45,23.07,,,,,
Cupressus sp.,5,1,7.15,37.1,2.17,21.63,,,,,
Cupressus sp.,,2,7.51,77.64,2.69,22.67,,,,,
Cupressus sp.,,3,8.62,39.7,1.62,22,,,,,
Cupressus sp.,,4,8.71,40.95,2.19,19.91,,,,,
Cupressus sp.,,5,8.79,42.89,2.17,23,,,,,
Cupressus sp.,,6,8.24,37.61,2.41,15.37,,,,,
Cupressus sp.,,7,6.88,36.9,3.1,18.86,,,,,
Cupressus sp.,,8,6.92,31.04,2.87,20.03,,,,,
Cupressus sp.,,9,7.61,42.2,1.76,21.27,,,,,
Cupressus sp.,,10,8.25,30.22,1.95,17.22,,,,,
Encephalartos sp.,1,1,18.14,79.75,3.72,30.21,,,,,
Encephalartos sp.,,2,17.1,63.58,1.99,27.4,,,,,
Encephalartos sp.,,3,25.09,108.62,2.13,29.35,,,,,
Encephalartos sp.,,4,25.77,109.18,2.67,24.03,,,,,
Encephalartos sp.,,5,19.66,97.99,2.24,27.8,,,,,
Encephalartos sp.,,6,22.81,97.41,2.83,27.72,,,,,
Encephalartos sp.,,7,29.16,67.61,2.23,28.35,,,,,
Encephalartos sp.,,8,17.7,96,2.06,32.14,,,,,
Encephalartos sp.,,9,17.4,83.6,4.67,33.75,,,,,
Encephalartos sp.,,10,23.68,65.98,3.3,34.3,,,,,
Encephalartos sp.,2,1,14,94.3,3.46,28.72,,,,,
Encephalartos sp.,,2,21.71,77.33,4.03,30,,,,,
Encephalartos sp.,,3,15.28,83.85,3.79,28.66,,,,,
Encephalartos sp.,,4,14.28,83.11,3.6,29.59,,,,,
Encephalartos sp.,,5,13.16,69.17,2.48,31.83,,,,,
Encephalartos sp.,,6,12.31,63.87,3.61,32.96,,,,,
Encephalartos sp.,,7,14.48,70.08,3.27,31.88,,,,,
Encephalartos sp.,,8,12.72,75.02,4.21,28.01,,,,,
Encephalartos sp.,,9,13.57,50.23,2.79,27.51,,,,,
Encephalartos sp.,,10,14.81,58.24,3.21,28.61,,,,,
Encephalartos sp.,3,1,14.02,88.52,3.47,26.46,,,,,
Encephalartos sp.,,2,13.34,18.01,3.26,28.23,,,,,
Encephalartos sp.,,3,13.58,83.48,2.73,28.2,,,,,
Encephalartos sp.,,4,11.42,75.47,4.12,35.65,,,,,
Encephalartos sp.,,5,12.33,85.01,3.17,25.97,,,,,
Encephalartos sp.,,6,10.41,70.46,4.12,25.15,,,,,
Encephalartos sp.,,7,12.11,88.99,2.03,29.95,,,,,
Encephalartos sp.,,8,12.3,67.08,2.14,23.08,,,,,
Encephalartos sp.,,9,12.85,70.61,3.15,29.35,,,,,
Encephalartos sp.,,10,13.47,66.8,3.2,31.53,,,,,
Encephalartos sp.,4,1,17.01,71.21,3.12,26.04,,,,,
Encephalartos sp.,,2,15.33,88.02,2.83,35.2,,,,,
Encephalartos sp.,,3,14.27,92.96,3.14,22.01,,,,,
Encephalartos sp.,,4,24.06,99.14,2.64,24.8,,,,,
Encephalartos sp.,,5,11.6,81.1,3.33,28.71,,,,,
Encephalartos sp.,,6,17.89,88,2.84,32.33,,,,,
Encephalartos sp.,,7,15.39,74.9,3.31,31.81,,,,,
Encephalartos sp.,,8,14.62,75.35,2.76,34.41,,,,,
Encephalartos sp.,,9,12.77,82.36,3.25,35.21,,,,,
Encephalartos sp.,,10,9.65,88.01,2.61,27.05,,,,,
Encephalartos sp.,5,1,10.66,86.13,3.15,35.6,,,,,
Encephalartos sp.,,2,13.76,79.1,3.44,38.44,,,,,
Encephalartos sp.,,3,11.06,103.38,3.09,30.88,,,,,
Encephalartos sp.,,4,12.49,94.08,3.02,32.62,,,,,
Encephalartos sp.,,5,12.24,95.41,3.45,29.75,,,,,
Encephalartos sp.,,6,12.81,91.92,3.27,31.49,,,,,
Encephalartos sp.,,7,14.58,99.45,3.61,35.65,,,,,
Encephalartos sp.,,8,14.91,100.01,3.89,29.63,,,,,
Encephalartos sp.,,9,13.34,77.05,3.75,35.6,,,,,
Encephalartos sp.,,10,12.75,78.61,3.6,33.43,,,,,
Ficus microcarpa,1,1,2.55,25.25,1.17,16.05,,,,,
Ficus microcarpa,,2,5.37,24.05,1.45,12.89,,,,,
Ficus microcarpa,,3,5.32,26.78,1,16.02,,,,,
Ficus microcarpa,,4,3.8,27.78,0.89,14.23,,,,,
Ficus microcarpa,,5,5.05,24.52,1.39,12.39,,,,,
Ficus microcarpa,,6,4.51,25.42,1.38,10.9,,,,,
Ficus microcarpa,,7,5.37,21.23,0.93,15.86,,,,,
Ficus microcarpa,,8,5.44,24.91,1.85,16.43,,,,,
Ficus microcarpa,,9,5.43,30.14,1.78,10.92,,,,,
Ficus microcarpa,,10,5.04,20.11,1.07,13.27,,,,,
Ficus microcarpa,2,1,5.95,22.35,1.06,9.39,,,,,
Ficus microcarpa,,2,5.05,26.28,1.97,8.08,,,,,
Ficus microcarpa,,3,5.48,25.09,1.72,13.2,,,,,
Ficus microcarpa,,4,4.46,26.3,1.45,10.87,,,,,
Ficus microcarpa,,5,6.28,22.09,1.65,15.13,,,,,
Ficus microcarpa,,6,6.03,35.06,2.03,11.89,,,,,
Ficus microcarpa,,7,6.36,27.15,1.32,15.17,,,,,
Ficus microcarpa,,8,6.36,28.55,1.46,13.02,,,,,
Ficus microcarpa,,9,5.36,29.32,1.78,14.86,,,,,
Ficus microcarpa,,10,7.2,25.99,1.71,15.31,,,,,
Ficus microcarpa,3,1,4.51,34.38,1.65,13.23,,,,,
Ficus microcarpa,,2,3.1,31.36,1.84,14.36,,,,,
Ficus microcarpa,,3,5.7,34.41,1.13,12.07,,,,,
Ficus microcarpa,,4,7,24.98,2.29,20.07,,,,,
Ficus microcarpa,,5,4.9,30.68,1.53,13.16,,,,,
Ficus microcarpa,,6,6.72,22.14,1.51,15.53,,,,,
Ficus microcarpa,,7,5.1,32.87,2.04,13.36,,,,,
Ficus microcarpa,,8,5.43,23.52,1.83,16.97,,,,,
Ficus microcarpa,,9,5.88,34.28,1.19,12.65,,,,,
Ficus microcarpa,,10,5.49,22.64,1.91,9.55,,,,,
Ficus microcarpa,4,1,5.5,35.13,1.34,16.32,,,,,
Ficus microcarpa,,2,4.59,34.59,1.92,24.43,,,,,
Ficus microcarpa,,3,7.33,32.8,1.84,13.86,,,,,
Ficus microcarpa,,4,5.75,38.67,1.38,16.63,,,,,
Ficus microcarpa,,5,3.21,35.6,1.25,17.01,,,,,
Ficus microcarpa,,6,5.18,39.05,1.59,14.33,,,,,
Ficus microcarpa,,7,6.87,25.95,1.32,13.3,,,,,
Ficus microcarpa,,8,4.97,27.49,1.19,14.61,,,,,
Ficus microcarpa,,9,6.82,30.37,1.11,14.3,,,,,
Ficus microcarpa,,10,5.31,39.2,2.04,14.31,,,,,
Ficus microcarpa,5,1,5.75,37.53,1.71,13.33,,,,,
Ficus microcarpa,,2,6.98,33.96,1.57,11.05,,,,,
Ficus microcarpa,,3,8.1,30,1.32,16.95,,,,,
Ficus microcarpa,,4,9.94,25.37,0.86,12.86,,,,,
Ficus microcarpa,,5,8.37,30.32,1.15,17.48,,,,,
Ficus microcarpa,,6,5.31,21.89,1.3,9.24,,,,,
Ficus microcarpa,,7,4.66,31.33,1.19,22.01,,,,,
Ficus microcarpa,,8,5.37,20.37,1.06,11.25,,,,,
Ficus microcarpa,,9,5.54,26.39,0.87,20.5,,,,,
Ficus microcarpa,,10,7.2,32.52,1.07,14.08,,,,,
Ficus natalensis,1,1,18.39,79.77,1.67,9.89,,,,,
Ficus natalensis,,2,27.65,76.06,1.82,15.62,,,,,
Ficus natalensis,,3,25.17,81.31,2.03,22.02,,,,,
Ficus natalensis,,4,20.1,88.26,1.67,22.15,,,,,
Ficus natalensis,,5,22.73,82.15,3,21.99,,,,,
Ficus natalensis,,6,26.71,78.21,1.66,20.18,,,,,
Ficus natalensis,,7,23.66,82.32,1.82,28.72,,,,,
Ficus natalensis,,8,28.17,106.45,2.14,23.05,,,,,
Ficus natalensis,,9,25.36,108.23,2.74,34.62,,,,,
Ficus natalensis,,10,22.87,74.35,2.62,33.37,,,,,
Ficus natalensis,2,1,22.21,73.3,2.46,36.11,,,,,
Ficus natalensis,,2,18.66,71.01,1.8,29.21,,,,,
Ficus natalensis,,3,22.05,73.66,2.48,17.63,,,,,
Ficus natalensis,,4,20.2,85.67,1.36,20.56,,,,,
Ficus natalensis,,5,23.58,69.98,1.98,20.39,,,,,
Ficus natalensis,,6,19.23,67.06,2.55,17.42,,,,,
Ficus natalensis,,7,20.57,77.46,2.74,21.41,,,,,
Ficus natalensis,,8,16.28,77.88,3.06,20.55,,,,,
Ficus natalensis,,9,18.93,79.87,2.93,22.66,,,,,
Ficus natalensis,,10,13.93,58.19,3.27,22.03,,,,,
Ficus natalensis,3,1,16.5,71.2,3.36,19.94,,,,,
Ficus natalensis,,2,12.96,58.99,3.47,23.43,,,,,
Ficus natalensis,,3,15.06,60.19,2.42,17.74,,,,,
Ficus natalensis,,4,20.26,56.07,2.14,18.97,,,,,
Ficus natalensis,,5,20.08,60.62,2.58,24.03,,,,,
Ficus natalensis,,6,16.2,56.15,2.4,23.25,,,,,
Ficus natalensis,,7,16.29,59.47,1.8,24.7,,,,,
Ficus natalensis,,8,14.99,49.76,1.84,15.03,,,,,
Ficus natalensis,,9,12.64,44.83,2.77,29.91,,,,,
Ficus natalensis,,10,14.76,36.24,2.68,26.56,,,,,
Ficus natalensis,4,1,12.48,54.76,2.66,21.63,,,,,
Ficus natalensis,,2,13.34,43.98,2.23,18.12,,,,,
Ficus natalensis,,3,15.74,47.95,2.45,22.13,,,,,
Ficus natalensis,,4,17.02,56.7,1.86,20.11,,,,,
Ficus natalensis,,5,18.06,41.79,2.36,27.3,,,,,
Ficus natalensis,,6,16.77,49.86,2.57,22.94,,,,,
Ficus natalensis,,7,14.08,55.63,2.83,26.96,,,,,
Ficus natalensis,,8,17.24,47.2,2.93,19.7,,,,,
Ficus natalensis,,9,16.85,74.95,3.08,22.13,,,,,
Ficus natalensis,,10,12.93,65.27,2.58,19.97,,,,,
Ficus natalensis,5,1,20.58,60.31,2.73,20.62,,,,,
Ficus natalensis,,2,12.24,47.44,2.23,16.28,,,,,
Ficus natalensis,,3,14.03,50.31,1.47,23.76,,,,,
Ficus natalensis,,4,15.26,59.04,2.12,25.29,,,,,
Ficus natalensis,,5,18.86,56.38,3.46,18.27,,,,,
Ficus natalensis,,6,20.76,47.38,2.22,12.44,,,,,
Ficus natalensis,,7,19.1,85.77,2.75,24.49,,,,,
Ficus natalensis,,8,15.27,67.91,1.98,20.1,,,,,
Ficus natalensis,,9,16.28,70.87,3.33,24.73,,,,,
Ficus natalensis,,10,18.14,66.05,2.3,23.2,,,,,
Grewia bicolor,1,1,7.39,20.74,1.05,4.27,,,,,
Grewia bicolor,,2,6.26,18.51,0.62,4.34,,,,,
Grewia bicolor,,3,8.89,15.02,0.51,5.52,,,,,
Grewia bicolor,,4,7.25,14.84,0.65,4.21,,,,,
Grewia bicolor,,5,6.4,13.4,0.71,4.99,,,,,
Grewia bicolor,,6,7.39,11.98,0.75,5.99,,,,,
Grewia bicolor,,7,7.44,10.16,0.53,6.18,,,,,
Grewia bicolor,,8,4.81,13.01,0.87,6.02,,,,,
Grewia bicolor,,9,5.55,16.95,0.87,6.93,,,,,
Grewia bicolor,,10,5.49,15.63,1.09,6.59,,,,,
Grewia bicolor,2,1,4.26,10.83,0.67,6.64,,,,,
Grewia bicolor,,2,4.2,11.6,0.62,4.56,,,,,
Grewia bicolor,,3,6.92,10.76,0.52,4.04,,,,,
Grewia bicolor,,4,5.48,10.53,0.62,4.08,,,,,
Grewia bicolor,,5,4.71,15.53,0.56,6.15,,,,,
Grewia bicolor,,6,4.71,13.62,0.65,3.94,,,,,
Grewia bicolor,,7,5.09,12.02,0.67,7.01,,,,,
Grewia bicolor,,8,4.47,11.65,0.55,6.86,,,,,
Grewia bicolor,,9,4.91,10.71,0.56,4.45,,,,,
Grewia bicolor,,10,3.77,13.62,0.59,4.72,,,,,
Grewia bicolor,3,1,3.81,21.96,0.6,6.36,,,,,
Grewia bicolor,,2,4.36,20.08,0.62,4.93,,,,,
Grewia bicolor,,3,5.36,12.83,0.51,7.73,,,,,
Grewia bicolor,,4,5.39,12.2,0.53,5.89,,,,,
Grewia bicolor,,5,4.37,12.8,0.47,6.95,,,,,
Grewia bicolor,,6,5.23,11.09,0.58,6.18,,,,,
Grewia bicolor,,7,5.04,16.55,0.42,5.82,,,,,
Grewia bicolor,,8,4.75,15.49,0.71,5.48,,,,,
Grewia bicolor,,9,4.15,12.95,0.41,5.61,,,,,
Grewia bicolor,,10,4.98,15.93,0.65,4.91,,,,,
Grewia bicolor,4,1,5.41,16.18,0.35,4.88,,,,,
Grewia bicolor,,2,4.15,14.5,0.47,6.05,,,,,
Grewia bicolor,,3,4.25,23.37,0.53,5.17,,,,,
Grewia bicolor,,4,5.23,13.09,0.53,5.63,,,,,
Grewia bicolor,,5,6.41,17.47,0.39,6.68,,,,,
Grewia bicolor,,6,4.82,16.18,0.42,6.73,,,,,
Grewia bicolor,,7,3.35,24.14,0.5,4.56,,,,,
Grewia bicolor,,8,4.28,13.74,0.38,4.67,,,,,
Grewia bicolor,,9,4.33,14.81,0.47,4.61,,,,,
Grewia bicolor,,10,3.97,13.27,0.44,6.02,,,,,
Grewia bicolor,5,1,5.3,17.04,0.39,7.81,,,,,
Grewia bicolor,,2,5.6,21.02,0.38,7.56,,,,,
Grewia bicolor,,3,5.75,19.34,0.36,7.29,,,,,
Grewia bicolor,,4,5.84,20.35,0.51,8.22,,,,,
Grewia bicolor,,5,5.88,27.62,0.45,10.56,,,,,
Grewia bicolor,,6,5.17,23.64,0.48,7.47,,,,,
Grewia bicolor,,7,6.8,16.87,0.53,7.41,,,,,
Grewia bicolor,,8,4.77,19.67,0.42,9.11,,,,,
Grewia bicolor,,9,5.88,20.93,0.42,10.31,,,,,
Grewia bicolor,,10,5.34,21.15,0.74,7.99,,,,,
Harpephyllum caffrum,1,1,4.57,11.75,0.99,9.9,,,,,
Harpephyllum caffrum,,2,4.8,18.6,0.98,10.26,,,,,
Harpephyllum caffrum,,3,4.45,19.81,0.87,9.06,,,,,
Harpephyllum caffrum,,4,4.95,19.89,1.06,11.42,,,,,
Harpephyllum caffrum,,5,4.24,17.81,0.85,9.51,,,,,
Harpephyllum caffrum,,6,4.57,19.67,1.07,8.94,,,,,
Harpephyllum caffrum,,7,4.01,20.04,0.79,11.28,,,,,
Harpephyllum caffrum,,8,4.7,24.1,0.91,7.05,,,,,
Harpephyllum caffrum,,9,3.59,16.47,0.92,11.68,,,,,
Harpephyllum caffrum,,10,4.34,20.1,0.82,13.85,,,,,
Harpephyllum caffrum,2,1,3.94,21.69,1.07,10.39,,,,,
Harpephyllum caffrum,,2,4.87,23.29,1.06,13.58,,,,,
Harpephyllum caffrum,,3,4.74,23.89,1.04,12.35,,,,,
Harpephyllum caffrum,,4,5.09,24.57,0.82,13.9,,,,,
Harpephyllum caffrum,,5,4.9,26.39,0.88,12.31,,,,,
Harpephyllum caffrum,,6,4.92,27.26,0.82,12.59,,,,,
Harpephyllum caffrum,,7,4.57,24.47,0.82,9.96,,,,,
Harpephyllum caffrum,,8,4.88,23.5,0.96,13.32,,,,,
Harpephyllum caffrum,,9,4.07,24.83,0.88,12.31,,,,,
Harpephyllum caffrum,,10,4.55,26.53,0.78,11.75,,,,,
Harpephyllum caffrum,3,1,4.17,28.41,0.96,10.26,,,,,
Harpephyllum caffrum,,2,4.04,21.67,0.9,12.27,,,,,
Harpephyllum caffrum,,3,4.65,28.86,0.98,15.15,,,,,
Harpephyllum caffrum,,4,4.69,16.56,0.69,8.87,,,,,
Harpephyllum caffrum,,5,4.56,32.12,0.93,11.79,,,,,
Harpephyllum caffrum,,6,4.91,20.25,0.69,12.39,,,,,
Harpephyllum caffrum,,7,4.57,24.99,0.92,12.06,,,,,
Harpephyllum caffrum,,8,4.8,19.29,0.82,10.62,,,,,
Harpephyllum caffrum,,9,4.21,22.24,1.02,10.92,,,,,
Harpephyllum caffrum,,10,4.72,24.72,0.73,9.71,,,,,
Harpephyllum caffrum,4,1,3.61,19.2,0.86,12.1,,,,,
Harpephyllum caffrum,,2,4.1,16.65,0.8,14.17,,,,,
Harpephyllum caffrum,,3,3.51,19.95,0.98,11.31,,,,,
Harpephyllum caffrum,,4,4.84,18.74,1.06,12.37,,,,,
Harpephyllum caffrum,,5,3.69,18.92,0.86,12.33,,,,,
Harpephyllum caffrum,,6,3.7,18.99,0.85,13.4,,,,,
Harpephyllum caffrum,,7,4.37,20.55,0.71,12.59,,,,,
Harpephyllum caffrum,,8,4.23,15.82,0.88,11.87,,,,,
Harpephyllum caffrum,,9,3.85,19.7,0.98,12.44,,,,,
Harpephyllum caffrum,,10,4.07,21.63,0.84,13.68,,,,,
Harpephyllum caffrum,5,1,3.84,27.85,1.31,20.58,,,,,
Harpephyllum caffrum,,2,3.89,23.74,2.33,19.52,,,,,
Harpephyllum caffrum,,3,4.62,19.5,2.24,19.56,,,,,
Harpephyllum caffrum,,4,4.19,26.8,1.71,25.15,,,,,
Harpephyllum caffrum,,5,4.31,29.75,1.51,20.47,,,,,
Harpephyllum caffrum,,6,3.32,21.54,2.04,16.09,,,,,
Harpephyllum caffrum,,7,4.23,27.63,1.81,15.64,,,,,
Harpephyllum caffrum,,8,4.3,23.3,1.65,18.12,,,,,
Harpephyllum caffrum,,9,4.3,22.33,1.32,18.72,,,,,
Harpephyllum caffrum,,10,4.56,27.65,1.16,13.86,,,,,
Hedera canariensis,1,1,6.83,29.68,1.27,26.98,,,,,
Hedera canariensis,,2,7.36,37.88,0.54,17.87,,,,,
Hedera canariensis,,3,6.87,24.06,0.47,18.45,,,,,
Hedera canariensis,,4,5.35,24.94,0.48,26.01,,,,,
Hedera canariensis,,5,8.1,42.5,0.21,11.08,,,,,
Hedera canariensis,,6,6.44,28.56,1,9.03,,,,,
Hedera canariensis,,7,8.3,30.01,0.6,14.23,,,,,
Hedera canariensis,,8,8.02,30.25,0.61,24.08,,,,,
Hedera canariensis,,9,6.78,29.7,0.28,18.73,,,,,
Hedera canariensis,,10,5,35.93,0.72,10.6,,,,,
Hedera canariensis,2,1,6.28,25.6,0.25,22.17,,,,,
Hedera canariensis,,2,8.89,34.62,0.3,13.19,,,,,
Hedera canariensis,,3,7.07,26.72,0.45,18.5,,,,,
Hedera canariensis,,4,6.62,42.92,0.34,12.91,,,,,
Hedera canariensis,,5,6.25,32.38,0.39,25.59,,,,,
Hedera canariensis,,6,6.44,41.49,1,21.32,,,,,
Hedera canariensis,,7,5.34,29.17,0.53,17.8,,,,,
Hedera canariensis,,8,6.93,32.44,0.27,11.72,,,,,
Hedera canariensis,,9,7.68,32.87,0.27,14.06,,,,,
Hedera canariensis,,10,5.92,34.99,0.28,11.86,,,,,
Hedera canariensis,3,1,5.66,26.7,0.24,6.35,,,,,
Hedera canariensis,,2,7.2,28.02,0.28,11.59,,,,,
Hedera canariensis,,3,6.07,22.83,0.27,8.87,,,,,
Hedera canariensis,,4,6.88,30.99,0.28,11.09,,,,,
Hedera canariensis,,5,7.1,26.88,0.35,8.88,,,,,
Hedera canariensis,,6,7.11,30.51,0.42,7.72,,,,,
Hedera canariensis,,7,6.91,24.07,0.34,10.28,,,,,
Hedera canariensis,,8,6.01,29.14,0.34,6.76,,,,,
Hedera canariensis,,9,7.29,30.38,0.35,10.15,,,,,
Hedera canariensis,,10,7.58,28.44,0.88,22.95,,,,,
Hedera canariensis,4,1,6.35,22.46,0.27,15.56,,,,,
Hedera canariensis,,2,4.55,23.9,0.34,13.06,,,,,
Hedera canariensis,,3,5.83,25.56,0.47,10.33,,,,,
Hedera canariensis,,4,4.54,25.15,0.53,12.08,,,,,
Hedera canariensis,,5,7.76,33.74,0.73,12.87,,,,,
Hedera canariensis,,6,6.55,24.22,0.33,11.61,,,,,
Hedera canariensis,,7,7.75,23.74,0.28,7.65,,,,,
Hedera canariensis,,8,6.06,24.04,0.28,9.55,,,,,
Hedera canariensis,,9,7.35,23.2,0.4,14.22,,,,,
Hedera canariensis,,10,5.6,29.08,0.4,14.07,,,,,
Hedera canariensis,5,1,6.9,48.97,0.35,8.06,,,,,
Hedera canariensis,,2,8.19,20.94,0.73,9.02,,,,,
Hedera canariensis,,3,7.01,25.62,0.72,10.4,,,,,
Hedera canariensis,,4,8.03,24.75,0.79,9.47,,,,,
Hedera canariensis,,5,6.65,23.82,0.85,8.24,,,,,
Hedera canariensis,,6,7.64,39.29,0.6,10.32,,,,,
Hedera canariensis,,7,9.37,44.82,0.58,7.92,,,,,
Hedera canariensis,,8,6.01,25.73,0.33,13.22,,,,,
Hedera canariensis,,9,7.89,31.19,0.93,16.37,,,,,
Hedera canariensis,,10,8.16,27.4,0.34,12.83,,,,,
Indigofera cystioides,1,1,20.8,37.92,3.88,18.04,,,,,
Indigofera cystioides,,2,11.4,39.52,1.94,12.71,,,,,
Indigofera cystioides,,3,9.41,40.34,2.96,22.27,,,,,
Indigofera cystioides,,4,6.61,51.34,2.14,11.58,,,,,
Indigofera cystioides,,5,9.84,39.54,1.77,13.34,,,,,
Indigofera cystioides,,6,14.8,40.51,2.17,14.11,,,,,
Indigofera cystioides,,7,19.06,40.35,2.24,22.18,,,,,
Indigofera cystioides,,8,8.38,48.36,3.15,16.34,,,,,
Indigofera cystioides,,9,14.94,52.56,2.38,16.07,,,,,
Indigofera cystioides,,10,9.44,53.57,1.51,20.57,,,,,
Indigofera cystioides,2,1,17.06,58.5,2.76,22.97,,,,,
Indigofera cystioides,,2,12.5,33.19,2.18,28.77,,,,,
Indigofera cystioides,,3,9.24,28.87,3.3,24.31,,,,,
Indigofera cystioides,,4,12.45,36.12,3.23,14.29,,,,,
Indigofera cystioides,,5,14.81,37.65,3.69,20.11,,,,,
Indigofera cystioides,,6,22.96,65.2,1.93,22.85,,,,,
Indigofera cystioides,,7,9.39,68.84,1.45,13.29,,,,,
Indigofera cystioides,,8,10.37,59.4,2.4,16.79,,,,,
Indigofera cystioides,,9,13.6,43.69,2.44,16.71,,,,,
Indigofera cystioides,,10,10.76,43.55,1.84,13.14,,,,,
Indigofera cystioides,3,1,16,38.95,2.69,24.25,,,,,
Indigofera cystioides,,2,11.4,57.57,2.35,17.03,,,,,
Indigofera cystioides,,3,10.78,56.87,2.24,29.95,,,,,
Indigofera cystioides,,4,9.92,50.46,1.73,21.4,,,,,
Indigofera cystioides,,5,10.35,46.18,1.34,20.98,,,,,
Indigofera cystioides,,6,9.24,56.59,2.6,19.41,,,,,
Indigofera cystioides,,7,9.31,46.19,3.74,22.92,,,,,
